Município;AIH_aprovadas
110020 PORTO VELHO;1
130260 MANAUS;2
150080 ANANINDEUA;1
150420 MARABA;21
150442 MARITUBA;1
150680 SANTAREM;1
160030 MACAPA;2
171320 MIRACEMA DO TOCANTINS;1
210300 CAXIAS;1
211130 SAO LUIS;9
220220 CAMPO MAIOR;1
221100 TERESINA;2
230440 FORTALEZA;6
240810 NATAL;1
250400 CAMPINA GRANDE;1
250750 JOAO PESSOA;1
251080 PATOS;1
251140 PICUI;1
260290 CABO DE SANTO AGOSTINHO;1
260410 CARUARU;6
260790 JABOATAO DOS GUARARAPES;3
261070 PAULISTA;17
261110 PETROLINA;2
261160 RECIFE;23
261640 VITORIA DE SANTO ANTAO;3
270430 MACEIO;1
280030 ARACAJU;10
291080 FEIRA DE SANTANA;3
291360 ILHEUS;4
292530 PORTO SEGURO;1
292740 SALVADOR;4
293330 VITORIA DA CONQUISTA;1
310160 ALFENAS;5
310260 ANDRADAS;1
310620 BELO HORIZONTE;56
310670 BETIM;1
311830 CONSELHEIRO LAFAIETE;2
312090 CURVELO;3
312160 DIAMANTINA;1
312670 FRANCISCO SA;1
312770 GOVERNADOR VALADARES;2
312870 GUAXUPE;1
313220 ITAGUARA;1
313240 ITAJUBA;2
313330 ITAOBIM;16
313380 ITAUNA;1
313420 ITUIUTABA;1
313620 JOAO MONLEVADE;1
313670 JUIZ DE FORA;7
313840 LEOPOLDINA;1
313860 LIMA DUARTE;1
313950 MANHUMIRIM;1
314310 MONTE CARMELO;2
314330 MONTES CLAROS;3
314390 MURIAE;1
314610 OURO PRETO;3
314710 PARA DE MINAS;1
314790 PASSOS;3
314800 PATOS DE MINAS;2
315180 POCOS DE CALDAS;3
316370 SAO LOURENCO;1
316800 TAIOBEIRAS;1
316860 TEOFILO OTONI;7
316930 TRES CORACOES;1
316940 TRES PONTAS;1
316990 UBA;1
317010 UBERABA;11
317020 UBERLANDIA;11
320490 SAO MATEUS;1
320500 SERRA;2
320530 VITORIA;5
330010 ANGRA DOS REIS;1
330015 APERIBE;1
330020 ARARUAMA;2
330040 BARRA MANSA;1
330170 DUQUE DE CAXIAS;1
330290 MIGUEL PEREIRA;13
330340 NOVA FRIBURGO;1
330350 NOVA IGUACU;2
330390 PETROPOLIS;1
330455 RIO DE JANEIRO;30
330490 SAO GONCALO;1
330580 TERESOPOLIS;4
330600 TRES RIOS;1
330620 VASSOURAS;1
330630 VOLTA REDONDA;1
350160 AMERICANA;2
350280 ARACATUBA;2
350550 BARRETOS;1
350570 BARUERI;1
350590 BATATAIS;1
350600 BAURU;5
350650 BIRIGUI;1
350760 BRAGANCA PAULISTA;1
350850 CACAPAVA;1
350950 CAMPINAS;15
351110 CATANDUVA;1
351340 CRUZEIRO;1
351410 DOIS CORREGOS;1
351620 FRANCA;3
351740 GUAIRA;1
351840 GUARATINGUETA;1
351880 GUARULHOS;4
352220 ITAPECERICA DA SERRA;3
352440 JACAREI;1
352530 JAU;1
352590 JUNDIAI;4
352690 LIMEIRA;5
352900 MARILIA;3
352930 MATAO;2
353060 MOGI DAS CRUZES;7
353440 OSASCO;6
353650 PAULINIA;1
353870 PIRACICABA;6
353950 PITANGUEIRAS;1
354140 PRESIDENTE PRUDENTE;8
354340 RIBEIRAO PRETO;12
354390 RIO CLARO;2
354640 SANTA CRUZ DO RIO PARDO;1
354780 SANTO ANDRE;7
354850 SANTOS;1
354870 SAO BERNARDO DO CAMPO;2
354880 SAO CAETANO DO SUL;1
354890 SAO CARLOS;2
354910 SAO JOAO DA BOA VISTA;2
354970 SAO JOSE DO RIO PARDO;1
354980 SAO JOSE DO RIO PRETO;16
354990 SAO JOSE DOS CAMPOS;2
355030 SAO PAULO;59
355220 SOROCABA;3
355240 SUMARE;3
355280 TABOAO DA SERRA;1
355410 TAUBATE;1
355500 TUPA;1
410140 APUCARANA;1
410400 CAMPINA GRANDE DO SUL;8
410420 CAMPO LARGO;1
410430 CAMPO MOURAO;2
410480 CASCAVEL;2
410690 CURITIBA;9
410830 FOZ DO IGUACU;2
410840 FRANCISCO BELTRAO;4
411370 LONDRINA;17
411420 MANDAGUARI;3
411580 MEDIANEIRA;1
411760 PALMAS;1
411850 PATO BRANCO;2
411990 PONTA GROSSA;7
412060 PRUDENTOPOLIS;2
412770 TOLEDO;2
420140 ARARANGUA;1
420240 BLUMENAU;4
420380 CANOINHAS;1
420420 CHAPECO;1
420430 CONCORDIA;4
420460 CRICIUMA;1
420540 FLORIANOPOLIS;5
420700 ICARA;1
420820 ITAJAI;2
420890 JARAGUA DO SUL;2
420910 JOINVILLE;7
420930 LAGES;1
421360 PORTO UNIAO;1
421570 SANTO AMARO DA IMPERATRIZ;4
421660 SAO JOSE;5
421930 VIDEIRA;1
430040 ALEGRETE;1
430460 CANOAS;5
430510 CAXIAS DO SUL;13
430700 ERECHIM;1
430920 GRAVATAI;4
431010 IGREJINHA;1
431140 LAJEADO;1
431180 MARAU;1
431340 NOVO HAMBURGO;1
431410 PASSO FUNDO;3
431440 PELOTAS;2
431490 PORTO ALEGRE;28
431560 RIO GRANDE;2
431610 RONDA ALTA;1
431680 SANTA CRUZ DO SUL;3
431690 SANTA MARIA;3
431750 SANTO ANGELO;2
431800 SAO BORJA;1
431870 SAO LEOPOLDO;1
432180 TRES DE MAIO;1
432240 URUGUAIANA;10
500110 AQUIDAUANA;2
500270 CAMPO GRANDE;2
500370 DOURADOS;1
510250 CACERES;1
510340 CUIABA;2
510760 RONDONOPOLIS;1
510790 SINOP;2
520110 ANAPOLIS;2
520870 GOIANIA;5
522045 SENADOR CANEDO;1
522160 URUACU;3
530010 BRASILIA;9
Total;787
